2026-01-12 13:34:43.870 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 143.0.7499.192 (resolved driver for Chrome 143)
2026-01-12 13:34:43.871 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as /Users/anishk/.cache/selenium/chromedriver/mac-arm64/143.0.7499.192/chromedriver
2026-01-12 13:34:43.871 [main] INFO  testcase7 - WebDriverManager setup completed
2026-01-12 13:34:43.871 [main] INFO  testcase7 - --- Test Setup Started ---
2026-01-12 13:34:44.412 [main] INFO  testcase7 - --- Test Setup Completed ---
2026-01-12 13:34:44.412 [main] INFO  utils.ScreenshotListener - Starting test: testRemoveItemFromCart
2026-01-12 13:34:44.413 [main] INFO  TestExecution - 
2026-01-12 13:34:44.413 [main] INFO  TestExecution - ################################################################################
2026-01-12 13:34:44.413 [main] INFO  TestExecution - # TEST CASE: TC_AMZ_007 - Remove Item from Cart
2026-01-12 13:34:44.413 [main] INFO  TestExecution - ################################################################################
2026-01-12 13:34:44.413 [main] INFO  testcase7 - Search Keyword: mouse
2026-01-12 13:34:44.413 [main] INFO  TestSteps - >>> Pre-condition : Add item to cart
2026-01-12 13:35:00.190 [main] INFO  testcase7 - Navigated to homepage
2026-01-12 13:35:03.527 [main] INFO  testcase7 - Search results loaded
2026-01-12 13:35:08.008 [main] INFO  testcase7 - Clicked first product
2026-01-12 13:35:21.228 [main] INFO  testcase7 - Added product to cart
2026-01-12 13:35:28.180 [main] INFO  testcase7 - Navigated to cart page
2026-01-12 13:35:28.187 [main] INFO  testcase7 - Cart count before removal: 1
2026-01-12 13:35:28.187 [main] INFO  TestSteps - >>> Step 1 : Remove item from cart
2026-01-12 13:35:30.238 [main] INFO  testcase7 - Item deleted successfully
2026-01-12 13:35:30.239 [main] INFO  TestSteps - >>> Step 2 : Verify cart count decreased
2026-01-12 13:35:30.257 [main] INFO  testcase7 - Cart count after removal: 0
2026-01-12 13:35:30.257 [main] INFO  testcase7 - Cart count verification passed
2026-01-12 13:35:30.257 [main] INFO  TestSteps - >>> Step 3 : Verify empty cart message
2026-01-12 13:35:30.257 [main] INFO  testcase7 - Cart is empty, verifying empty cart message
2026-01-12 13:35:32.292 [main] WARN  testcase7 - Empty cart message not found, but count is 0. Proceeding.
2026-01-12 13:35:32.293 [main] INFO  TestSteps - >>> Step 4 : Verify checkout button hidden
2026-01-12 13:35:32.298 [main] INFO  testcase7 - Checkout button visible: false
2026-01-12 13:35:32.298 [main] INFO  testcase7 - Checkout button correctly hidden
2026-01-12 13:35:32.298 [main] INFO  testcase7 - ========================================
2026-01-12 13:35:32.299 [main] INFO  testcase7 - TEST RESULT: PASSED ✓
2026-01-12 13:35:32.299 [main] INFO  testcase7 - ========================================
2026-01-12 13:35:32.299 [main] INFO  TestExecution - ################################################################################
2026-01-12 13:35:32.299 [main] INFO  TestExecution - # TEST CASE TC_AMZ_007 - RESULT: PASSED
2026-01-12 13:35:32.299 [main] INFO  TestExecution - ################################################################################
2026-01-12 13:35:32.299 [main] INFO  TestExecution - 
2026-01-12 13:35:32.299 [main] INFO  utils.ScreenshotListener - Test passed: testRemoveItemFromCart
2026-01-12 13:35:32.300 [main] INFO  testcase7 - --- Test Teardown Started ---
2026-01-12 13:35:32.443 [main] INFO  testcase7 - Browser closed
2026-01-12 13:35:32.443 [main] INFO  testcase7 - --- Test Teardown Completed ---
2026-01-12 13:35:32.444 [main] INFO  TestSteps - ================================================================================
2026-01-12 13:35:32.444 [main] INFO  TestSteps -   TC_AMZ_008: Proceed to Checkout (Guest User)
2026-01-12 13:35:32.444 [main] INFO  TestSteps - ================================================================================
2026-01-12 13:35:32.444 [main] INFO  testcase8 - Priority: MEDIUM (P3) | Type: Smoke Test | Automation: YES
2026-01-12 13:35:32.447 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 143.0.7499.192 (resolved driver for Chrome 143)
2026-01-12 13:35:32.448 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as /Users/anishk/.cache/selenium/chromedriver/mac-arm64/143.0.7499.192/chromedriver
2026-01-12 13:35:32.448 [main] INFO  testcase8 - WebDriverManager setup completed
2026-01-12 13:35:32.448 [main] INFO  testcase8 - --- Test Setup Started ---
2026-01-12 13:35:32.883 [main] INFO  testcase8 - --- Test Setup Completed ---
2026-01-12 13:35:32.883 [main] INFO  utils.ScreenshotListener - Starting test: testProceedToCheckout
2026-01-12 13:35:32.883 [main] INFO  TestExecution - 
2026-01-12 13:35:32.883 [main] INFO  TestExecution - ################################################################################
2026-01-12 13:35:32.883 [main] INFO  TestExecution - # TEST CASE: TC_AMZ_008 - Proceed to Checkout
2026-01-12 13:35:32.883 [main] INFO  TestExecution - ################################################################################
2026-01-12 13:35:32.883 [main] INFO  testcase8 - Search Keyword: The Great Gatsby
2026-01-12 13:35:32.883 [main] INFO  TestSteps - >>> Pre-condition : Add item to cart
2026-01-12 13:35:43.591 [main] INFO  testcase8 - Navigated to homepage
2026-01-12 13:35:46.402 [main] INFO  testcase8 - Search results loaded
2026-01-12 13:35:56.710 [main] WARN  testcase8 - Specific book by XPath not found. Falling back to first product.
2026-01-12 13:36:14.801 [main] INFO  testcase8 - Item added to cart
2026-01-12 13:36:14.816 [main] INFO  testcase8 - DEBUG: Cart count after add: 1
2026-01-12 13:36:14.817 [main] INFO  testcase8 - Cart count verification passed
2026-01-12 13:36:14.817 [main] INFO  TestSteps - >>> Step 1 : Navigate to cart
2026-01-12 13:36:16.463 [main] INFO  testcase8 - Navigated to cart page
2026-01-12 13:36:16.463 [main] INFO  TestSteps - >>> Step 2 : Click 'Proceed to Checkout'
2026-01-12 13:36:18.012 [main] INFO  testcase8 - Proceed to Checkout clicked
2026-01-12 13:36:18.012 [main] INFO  TestSteps - >>> Step 3 : Verify redirected to checkout or sign-in page
2026-01-12 13:36:21.015 [main] INFO  testcase8 - Current URL after checkout: https://www.amazon.com/ap/signin?openid.pape.max_auth_age=900&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fcheckout%2Fentry%2Fcart%3FisEligibilityLogicDisabled%3D1%26referrer%3Dcart%26proceedToCheckout%3D1%26proceedToCheckout%3D1%26ref_%3Dox_sc_proceed%26oldCustomerId%3D0%26tangoWeblabStatus%3Dtango_enable_unrec_customer%26sessionID%3D142-8782956-3202860%26pipelineType%3DChewbacca%26isToBeGiftWrappedBefore%3D0%26useDefaultCart%3D1%26isUnrec%3D1&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=amazon_checkout_us&openid.mode=checkid_setup&language=en_US&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0
2026-01-12 13:36:21.015 [main] INFO  testcase8 - Successfully redirected to checkout flow
